region_kod,region_nazwa,region_typ,related_to,rok_zalozenia,id_unikalne,kategoria,nazwa_firmy,kraj,miasto,adres,nip_vat,rejestr_id,www,kanal_zamiennik,email,telefon,linkedin,facebook,instagram,tiktok,tier,marki_nabijarki,marka_wlasna_oem,sourcing,wolumen,confidence_wolumen,kanal_sprzedaży,powinowactwo_nabijarki,cross_sell_potential,decydent,stanowisko,email_decydent,zrodlo_danych,data_weryfikacji,flagi,notatki,rynek_skala
XX,nieznany,nieznany,,,HR-B-XX-001,B8,Veletabak d.o.o.,HR,Zagreb,do ustalenia,do weryfikacji,do weryfikacji,https://www.veletabak.hr/,,,+385 1 7888 610,,,,,,,,,,,,,,Luka Saraf,Director,luka.saraf@veletabak.hr,web search 2026-08-10,2026-08-10,QS: 33/100 | 2026-08-11 ⏳ PENDING_API,Starter set: web search 2026-08-10. Nip/rejestr do ustalenia.,
XX,nieznany,nieznany,,,HR-B-XX-002,B8,TDR d.o.o. (BAT Adria),HR,Rovinj,"Obala Vladimira Nazora 1, 52210",do weryfikacji,do weryfikacji,https://tdr.hr/,,,052844000,,,,,,,,,,,,,,Zvonko Kolobara,Director,cro_pravniodjel@bat.com,web search 2026-08-10,2026-08-10,QS: 40/100 | 2026-08-11 ⏳ PENDING_API,Starter set: web search 2026-08-10. Nip/rejestr do ustalenia.,
XX,nieznany,nieznany,,,HR-B-XX-003,B8,Hrvatski duhani d.d. (BAT),HR,Virovitica,"Osječka 2, 33000",do weryfikacji,do weryfikacji,do ustalenia,,,033 730 660,,,,,,,,,,,,,,Aleksandra Grigić,Predsjednik uprave / President,hrvatski_duhani@bat.com,web search 2026-08-10,2026-08-10,QS: 40/100 | 2026-08-11 ⏳ PENDING_API,Starter set: web search 2026-08-10. Nip/rejestr do ustalenia.,
XX,nieznany,nieznany,,,HR-B-XX-004,B4,Imperial Tobacco Zagreb d.o.o.,HR,Zagreb,do ustalenia,do weryfikacji,do weryfikacji,do ustalenia,,,01/5494040,,,,,,,,,,,,,,Tomaz Maver,Director (Market Manager SLOVENIA&CROATIA),,kompass.hr web search 2026-08-10,2026-08-10,QS: 33/100 | 2026-08-11 ⏳ PENDING_API,Starter set: web search 2026-08-10. Nip/rejestr do ustalenia.,
XX,nieznany,nieznany,,,HR-B-XX-005,B4,Philip Morris Zagreb d.o.o.,HR,Zagreb,do ustalenia,do weryfikacji,do weryfikacji,do ustalenia,,,+385 1 616 6900,,,,,,,,,,,,,,Anita Letica,"General Manager Croatia & Slovenia, President of the Board",Anita.Letica@pmi.com,kompass.hr web search 2026-08-10,2026-08-10,QS: 33/100 | 2026-08-11 ⏳ PENDING_API,Starter set: web search 2026-08-10. Nip/rejestr do ustalenia.,
XX,nieznany,nieznany,,,HR-B-XX-006,B4,JT International Zagreb d.o.o.,HR,Zagreb,do ustalenia,do weryfikacji,do weryfikacji,do ustalenia,,,+385 1 6040801,,,,,,,,,,,,,,Simone Mammi,Direktor,,kompass.hr web search 2026-08-10,2026-08-10,QS: 33/100 | 2026-08-11 ⏳ PENDING_API,Starter set: web search 2026-08-10. Nip/rejestr do ustalenia.,
XX,nieznany,nieznany,,,HR-B-XX-007,B4,Pogon Kooltura d.o.o.,HR,Donji Stupnik,do ustalenia,do weryfikacji,do weryfikacji,do ustalenia,,,,,,,,,,,,,,,,,Željko Petrić,Direktor,,kompass.hr web search 2026-08-10,2026-08-10,QS: 28/100 | 2026-08-11 ⏳ PENDING_API,Starter set: web search 2026-08-10. Nip/rejestr do ustalenia.,
XX,nieznany,nieznany,,,HR-B-XX-008,B4,Shisha Trade d.o.o.,HR,Kaštel Štafilić,do ustalenia,do weryfikacji,do weryfikacji,do ustalenia,,,0912130906,,,,,,,,,,,,,,Ivan Botić,Owner/Director,,kompass.hr web search 2026-08-10,2026-08-11,QS: 28/100 | 2026-08-11 ⏳ PENDING_API,Starter set: web search 2026-08-10. Nip/rejestr do ustalenia.,
XX,nieznany,nieznany,,,HR-B-XX-009,B4,AER Wholesale,HR,Umag,do ustalenia,do weryfikacji,do weryfikacji,do ustalenia,,,+39 02 947 501 07,,,,,,,,,,,,,,Matteo Lovisolo,Founder/CEO,info@aer-wsale.com,europages web search 2026-08-10,2026-08-10,QS: 33/100 | 2026-08-11 ⏳ PENDING_API,Starter set: web search 2026-08-10. Nip/rejestr do ustalenia.,
XX,nieznany,nieznany,,,HR-B-XX-010,B4,TDR D.O.O. (Rovinj Tobacco Factory),HR,Rovinj,do ustalenia,do weryfikacji,do weryfikacji,do ustalenia,,,052844000,,,,,,,,,,,,,,Zvonko Kolobara,Director,cro_pravniodjel@bat.com,europages web search 2026-08-10,2026-08-10,QS: 33/100 | 2026-08-11 ⏳ PENDING_API,Starter set: web search 2026-08-10. Nip/rejestr do ustalenia.,
XX,nieznany,nieznany,,,HR-B-XX-011,B4,HRVATSKI DUHANI D.D.,HR,Virovitica,do ustalenia,do weryfikacji,do weryfikacji,do ustalenia,,,033 730 660,,,,,,,,,,,,,,Renato Balen,Direktor,hrvatski_duhani@bat.com,europages web search 2026-08-10,2026-08-10,QS: 33/100 | 2026-08-11 ⏳ PENDING_API,Starter set: web search 2026-08-10. Nip/rejestr do ustalenia.,
