id,nazwa_firmy,miasto,www,kategoria,tier,email,telefon,kanal_sprzedaży,decydent,powinowactwo_nabijarki,marki_nabijarki,notatki,sourcing,flagi,wolumen,confidence_wolumen,rejestr_id,vat_id,address
CZ-B-001,TTI Czech s.r.o.,,http://www.tti-czech.cz/,B2,duży,,,B2B wholesale,,3,,"CZ exclusive Pöschl/Davidoff/Mascotte importer, multi-country (CZ+SK+DE) | Multi-country: Pöschl Group",manual-google-search-2026-09-01,FROZEN,,,,,
CZ-B-002,CZECH TOBACCO CORPORATION a.s.,,https://www.ctc-as.cz/,B5,duży,ctc@ctc-as.cz,720838745,B2B wholesale,,3,,"CZ 15,000 retail units, jednym z nejvýznamnějších velkoobchodních distributorů v ČR",manual-google-search-2026-09-01,FROZEN,,,,,
CZ-B-003,MORAVIA TOBACCO,,https://www.moraviatb.cz/english/,B5,duży,info@moraviatb.cz,,B2B wholesale,,3,,"CZ family importer+distributor premium cigars (My Father, Alec Bradley, La Flor Dominicana), 2005",manual-google-search-2026-09-01,FROZEN,,,,,
CZ-B-004,Horák Tabák,,https://www.horaktabak.cz/velkoobchod/,B5,średni,,+420734617787,B2B wholesale,,3,,"CZ wholesale hookah tobacco + accessories, B2B only",manual-google-search-2026-09-01,FROZEN,,,,,
CZ-B-005,Etabak.com,,https://etabak.com/velkoobchod/,B5,średni,obchod@etabak.com,777-593-840,B2B wholesale,,3,,CZ wholesale OCB/Smoking papers + cigars + accessoires,manual-google-search-2026-09-01,FROZEN,,,,,
CZ-B-006,TABÁK RAST plus Teplice,,https://www.rastplus.cz,B5,średni,,,B2B wholesale,,3,,"CZ wholesale tobacco + beverages + food, Teplice HQ",manual-google-search-2026-09-01,FROZEN,,,,,
CZ-B-007,Velkoobchod Mečíř Trutnov,,https://www.mecir.net,B5,średni,obchod@mecir.net,00420723291202,B2B wholesale,,3,,CZ wholesale tobacco + spirits + gastro,manual-google-search-2026-09-01,FROZEN,,,,,
CZ-B-008,Tabacos.cz,,https://www.tabacos.cz,B5,średni,,,B2B wholesale,,3,,CZ wholesale Oliva/Drew Estate/Costa Cigars,manual-google-search-2026-09-01,FROZEN,,,,,
CZ-B-009,EUROSPRO s.r.o.,,https://www.eurospro.cz,B5,średni,,,B2B wholesale,,3,,"CZ velkoobchod tabákových výrobků a alkoholu, Praha",manual-google-search-2026-09-01,FROZEN,,,,,
CZ-B-010,Šebrle s.r.o.,,https://www.sebrlesro.cz,B5,średni,,+420 499 622 321,B2B wholesale,,3,,CZ velkoobchod kuřáckých potřeb + Golden Filter import,manual-google-search-2026-09-01,FROZEN,,,,,
