kraj,id_unikalne,nazwa_firmy,miasto,adres,www,wolumen,confidence_wolumen,rejestr_id,nip_vat,rok_zalozenia,tier,marki_nabijarki,marka_wlasna_oem,powinowactwo_nabijarki,kategoria,rynek_skala,cross_sell_potential,kanal_sprzedaży,kanal_zamiennik,decydent,stanowisko,email_decydent,email,telefon,notatki,linkedin,facebook,instagram,tiktok,data_weryfikacji,sourcing,zrodlo_danych,flagi,related_to
EE,EE-B-001,OÜ SANITEX,Rae küla,"Graniidi 1, EE-75310",https://sanitex.eu,duży,🟢,e-Äriregister 11931003,EE101376895,,reseller,nie,nie,,B8,mały,brak,mix,brak,Oksana Salminen,Management board member,,sanitex.estonia@sanitex.eu,+372 622 6399,Siostra UAB SANITEX (LT). Wspólny właściciel. Razem z LT i LV = 1 partner na 3 kraje bałtyckie ⚠️ DO-WERYFIKACJI | cf detail: hurtownia + logistyka,brak,https://facebook.com/sanitex,brak,,2026-08-17,Europa + Azja,KRS API / CEIDG API + web search 2026-08-18,2026-08-28 ✅ FROZEN (API),"LT-B-KA-001,LV-B-XX-001"
EE,EE-B-002,Nicorex Baltic OÜ,Tallinn,Harju maakond,,,,e-Äriregister 11246738,EE101602462,,,,,,B8,mały,,,,Liudas Zakarevičius,Management board member,tallinn.admin@pmi.com,,+372 6050400,Starter set: web search 2026-08-10. Nip/rejestr do ustalenia.,,,,,2026-08-11,,KRS API / CEIDG API + web search 2026-08-18,2026-08-28 ✅ FROZEN (API),
EE,EE-B-003,Coop Eesti Keskühistu,Tallinn,"Harju maakond, Rae vald, Soodevahe küla, Suur-Sõjamäe tn 70",https://coop.ee,,,e-Äriregister 10093971,EE100200263,,,,,,B8,mały,,,,Matthias Baltes,Main decision-maker,,info@coop.ee,+372 671 0500,Starter set: web search 2026-08-10. Nip/rejestr do ustalenia.,,,,,2026-08-17,,KRS API / CEIDG API + web search 2026-08-18,2026-08-28 ✅ FROZEN (API),
EE,EE-B-004,Aktsiaselts Kaupmees & Ko,Tallinn,"Harju maakond, Tallinn, Lasnamäe linnaosa, Sepise tn 7",https://kaupmees.ee,,,e-Äriregister 10347466,EE100175783,,,,,,B8,mały,,,,Farid Hamadi,Juhatuse liige,fredi.viidik@ee.imptob.com,kaupmees@kaupmees.ee,+372 6221881,Starter set: web search 2026-08-10. Nip/rejestr do ustalenia.,,,,,2026-08-17,,KRS API / CEIDG API + web search 2026-08-18,2026-08-28 ✅ FROZEN (API),
EE,EE-B-005,Eugesta Eesti OÜ,Tallinn,"Harju maakond, Rae vald, Lehmja küla, Rukki tee 5",https://eugesta.ee,,,e-Äriregister 10028896,EE100048881,,,,,,B8,mały,,,,Jaan Lainurm,Juhatuse liige,jaanlainurm@gmail.com,info@eugesta.ee,+372 5551 5636,Starter set: web search 2026-08-10. Nip/rejestr do ustalenia.,,,,,2026-08-17,,KRS API / CEIDG API + web search 2026-08-18,2026-08-28 ✅ FROZEN (API),
EE,EE-B-006,Aktsiaselts Tallink Duty Free,Tallinn,"Harju maakond, Tallinn, Kesklinna linnaosa, Sadama tn 7",https://tallink.com,,,e-Äriregister 10179520,EE100220641,,,,,,B8,mały,,,,Koit Semjonov,Purchasing Director,koit.semjonov@tallink.ee,dutyfree@tallink.ee,+372 612 8216,Starter set: web search 2026-08-10. Nip/rejestr do ustalenia.,,,,,2026-08-17,,KRS API / CEIDG API + web search 2026-08-18,2026-08-28 ✅ FROZEN (API),
EE,EE-B-007,Philip Morris Eesti,Tallinn,"Harju maakond, Tallinn, Kesklinna linnaosa, Maakri tn 23a",https://www.pmi.com,,,e-Äriregister 10030798,EE100272521,,,,,,B8,mały,,,,Liudas Zakarevičius,Management board member,tallinn.admin@pmi.com,tallinn.admin@pmi.com,+372 6050400,Starter set: web search 2026-08-10. Nip/rejestr do ustalenia.,,,,,2026-08-17,,KRS API / CEIDG API + web search 2026-08-18,2026-08-28 ✅ FROZEN (API),
EE,EE-B-008,OÜ SIGARI MAJA,Tallinn,"Harju maakond, Tallinn, Kesklinna linnaosa, Raekoja plats 16, 10146",https://cigarhouse.ee,średni,🟡,e-Äriregister 10808306,EE100722880,,detalista,,,,B8,mały,,,,Natalja Falk,Director/owner,info@cigarhouse.ee,info@sigarimaja.ee,+372 5555 1234,"Byli wpis: 'CigarHouse.ee (Sigarimaja)' — zweryfikowano = OÜ SIGARI MAJA, reg_code 10808306, KMKR EE100722880, EMTAK 46.35. 32 pracowników. Sklep z cygarami i akcesoriami w centrum Tallina (Raekoja plats). | 32 pracowników (BalticFirms.eu 2025)",,,,,2026-08-12,,KRS API / CEIDG API + web search 2026-08-18,2026-08-28 ✅ FROZEN (API),
EE,EE-B-009,AmeiZing OÜ (brand: Hinnapomm.ee),Võru,"Võru maakond, Võru linn, Räpina mnt 16, 65606",https://hinnapomm.ee,mały,🟡,e-Äriregister 16512038,EE102501892,,detalista,,,,B4,mały,,,,Anti Kaljumäe,"Juhatuse liige (100% Omanik, Hinnapomm.ee)",hinnapomm@hinnapomm.ee,hinnapomm@hinnapomm.ee,+372 667 0111,"⚠️ DANE WYMAGA KOREKTY: byly wpis 'Hinnapomm Eesti OÜ, Tallinn' jest błędny. Prawdziwy właściciel marki Hinnapomm.ee to AmeiZing OÜ (reg_code 16512038, KMKR EE102501892, EMTAK 47.11 sprzedaż detaliczna non-specialized, Võru). Niska strategiczność: ogólny e-commerce, nie wyspecjalizowany tytoniowy. Wymaga ręcznej weryfikacji asortymentu pod kątem RYO/nabijarki. | EMTAK 47.11 (e-commerce detaliczny niewyspecjalizowany)",,,,,2026-08-17,,e-Äriregister 16512038 | KMKR EE102501892 | hinnapomm.ee; OpenRouter DeepSeek WebScrape; inforegister.ee + kaubandus.ee (public) 2026-08-18,2026-08-28 ⚠️ DO-WERYFIKACJI (API),
EE,EE-B-010,Fruit Xpress OÜ,Tallinn,"Harju maakond, Jõelähtme vald, Loo alevik, Niidu tee 1",,,,e-Äriregister 11471375,EE101350167,,,,,,B4,mały,,,,Marko Ööman,Juhatuse liige (Fruit Xpress OÜ / Bidfood Baltics),,,,Starter set: web search 2026-08-10. Nip/rejestr do ustalenia.,,,,,2026-08-10,,KRS API / CEIDG API + web search 2026-08-18; e-krediidiinfo.ee + teatmik.ee (public) 2026-08-18,2026-08-28 ✅ FROZEN (API),
