kraj,id_unikalne,nazwa_firmy,miasto,adres,www,wolumen,confidence_wolumen,rejestr_id,nip_vat,rok_zalozenia,tier,marki_nabijarki,marka_wlasna_oem,powinowactwo_nabijarki,kategoria,rynek_skala,cross_sell_potential,kanal_sprzedaży,kanal_zamiennik,decydent,stanowisko,email_decydent,email,telefon,notatki,linkedin,facebook,instagram,tiktok,data_weryfikacji,sourcing,zrodlo_danych,flagi,related_to
PL,PL-B-001,CK COMPLEX SPÓŁKA Z OGRANICZONA ODPOWIEDZIALNOŚCIĄ,Zielona Góra,"ul. Naftowa 4, 65-705",https://ckcomplex.pl,duży,🟢,KRS 0000237218,PL9291744080,2005,reseller,,,3,B6,duży,n/a,,brak,Paweł Szymański,Prezes Zarządu,,info@ckcomplex.pl,+48 68 452 12 30,Sieć 100+ sklepów vape. Dystrybutor SMOK/VooPoo/Aspire/Vaporesso. Kapitał 50k PLN. Rejestracja 2005. PKD 4690Z (hurt niewyspecjalizowana). Kandydat cross-sell jeśli któryś z jego sklepów chce rozszerzyć o asortyment | cf detail: hurtownia + sieć 100+ sklepów własnych,https://www.linkedin.com/company/ck-complex-sp.-z-o.o.,https://facebook.com/CKComplex,https://instagram.com/ckcomplexspzoo,,2026-08-10,Chiny (import),KRS API + web search + VIES | VIES confirmed 2026-08-11T00:19:10.115Z | KRS API 0000237218 (partial),2026-08-31 ✅ FROZEN (API),
PL,PL-B-002,F.H.U. ALPIK RYSZARD TRZCIŃSKI,Szczecin,"ul. Bolesława Krzywoustego 51, 70-317",https://bongogo.pl,mały,🟡,JDG (CEIDG),PL9551541914,,detalista,nie,nie,5,B4,duży,brak,,Allegro shop,Ryszard Trzciński,właściciel,,kontakt@bongogo.pl,+48 601 779 697,"Brand BongGo.pl = F.H.U. ALPIK. Sklep stacjonarny w Szczecinie, panel hurtowy dla firm. Powiązany z bongosklep.firmy.net. Weryfikacja czy importuje maszynki - prawdopodobnie tak (panel hurtowy sugeruje) ⚠️ DO-WERYFIKACJI | cf detail: sklep stacjonarny + hurtownia | Brand/Web: BongoGo.pl | Profil: brand: BongoGo.pl",brak,https://facebook.com/BongoGoPL,https://instagram.com/bongogo,,2026-08-10,do weryfikacji,CEIDG API + web search + VIES | VIES confirmed 2026-08-11T00:19:13.918Z | ceidg api + web search,2026-08-31 ✅ FROZEN (API),
PL,PL-B-003,GABIMIX KRZYSZTOF JASZCZAK,Konstantynów Łódzki,"pl. Kościuszki 20, 95-050",https://www.dopalenia.pl,mały,🟡,JDG (CEIDG),PL7311693836,,detalista,nie,nie,5,B4,duży,brak,,Allegro shop,Krzysztof Jaszczak,właściciel,,sklep@dopalenia.pl,+48 665 852 033,Brand Dopalenia.pl = Gabimix. Strona + hurtownia. Prawdopodobnie sprzedaje maszynki (typowy asortyment sklepu tytoniowego). Status AKTYWNY w CEIDG. Kandydat cross-sell ⚠️ DO-WERYFIKACJI | cf detail: sklep + hurtownia,brak,https://facebook.com/dopalenia,brak,,2026-08-10,do weryfikacji,KRS API / CEIDG API + web search 2026-08-10 | VIES confirmed 2026-08-11T00:19:02.088Z | ceidg + web search,2026-08-31 ✅ FROZEN (API),
PL,PL-B-004,CASISS KRZYSZTOF RZESZOWSKI SPÓŁKA JAWNA,Wrocław,"ul. Bolesława Krzywoustego 300, 51-312 Wrocław",,średni,🟢,KRS 0000061705,PL8940050162,,hurtownik,nie,nie,5,B8,duży,brak,,pkt.pl,Rzeszowski,Członek Zarządu,,,+48 71 336 23 94,"hurtownia tytoniowa (KRS 0000061705). Marki: nie. Kanał: 5, tier: hurtownik | wolumen detail: sieć 6+ lokalizacji | cf detail: hurtownia + 6+ sklepów: Wrocław (Kościuszki 180, Żegiestowska 5, Krzywoustego 300 x2), Wałbrzych (Wrocławska 130, partner: kdwt.com.pl) | tel cleanup 2026-08-31: telefony dodatkowe: 71 345 67 74, 74 840 83 33, fax 71 367 23 94",brak,brak,brak,,2026-08-10,brak,KRS API / CEIDG API + web search 2026-08-17 | panoramafirm + pkt.pl (2 niezależne źródła),2026-08-31 ✅ FROZEN (API),
PL,PL-B-005,POLSKA GRUPA TYTONIOWA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Wierzbnica (pow. myśliborski),"Wierzbnica 63A, 74-300 Myślibórz",http://polskagt.pl,duży,🟢,KRS 0000396744,PL4980260426,2011,hurtownik,nie,nie,5,B8,duży,brak,,biuro oddziałów,wspólnicy (równe udziały),,biuro@polskagt.pl,biuro@polskagt.pl,+48 502 399 832,"hurtownia tytoniowa (KRS 0000396744). Marki: nie; Polska (dystrybucja od 2002). Kanał: 5, tier: hurtownik | Wspólnicy: Robert Biela (33% udziałów) + Barbara Urcus-Wargocka (33%) + Robert Rutkowski (33%). | cf detail: hurtownia ogólnopolska + biuro Piekary Śląskie (Bytomska 359)",brak,https://facebook.com/polskagtpl,https://instagram.com/polskagt_pl,,2026-08-10,Polska (dystrybucja od 2002),KRS API / CEIDG API + web search 2026-08-10 | VIES confirmed 2026-08-11T00:18:52.103Z | KRS API 0000396744,2026-08-31 ✅ FROZEN (API),
PL,PL-B-006,DRV DISTRIBUTION Sp. z o.o.,Lubartów,Lubartów (dokładny adres do weryfikacji),https://b2b-doctorvape.pl,brak,brak,KRS 0001190453,PL7142066366,,hurtownik,,,4,B8,duży,do ustalenia,,brak,Jakub Golonka,Prezes / CEO,,kontakt@b2b-doctorvape.pl,+48 572 194 699,"Kapitał: ? PLN. Do weryfikacji: pełny adres (ulica, nr), decydent, kanał sprzedaży, asortyment (czy mają maszynki do tytoniu) | B2B hurtownik e-papierosów i akcesoriów vape (DoctorVape)..",brak,brak,brak,brak,2026-08-17,brak,KRS API / CEIDG API + web search 2026-08-10 | VIES confirmed 2026-08-11T00:19:00.531Z | KRS API 0001190453,2026-08-31 ✅ FROZEN (API),brak
PL,PL-B-007,VTP Sp. z o.o.,Lublin,Lublin (dokładny adres do weryfikacji),https://b2b.vapetechpoland.pl,brak,brak,KRS 0000948471,PL9462714112,,hurtownik,,,4,B8,duży,do ustalenia,,brak,Michał Piskor,Dział Eksportu,,b2b@vapetechpoland.pl,+48 453 409 409,"Kapitał: ? PLN. Do weryfikacji: pełny adres (ulica, nr), decydent, kanał sprzedaży, asortyment (czy mają maszynki do tytoniu) | VapeTech Poland — hurtownik B2B e-papierosów i akcesoriów vape.",brak,brak,brak,brak,2026-08-17,brak,KRS API / CEIDG API + web search 2026-08-10 | VIES confirmed 2026-08-11T00:19:10.798Z | KRS API 0000948471,2026-08-31 ✅ FROZEN (API),brak
PL,PL-B-008,TABASCO VAPE TABAS SPÓŁKA KOMANDYTOWA,Rzeszów,Rzeszów (dokładny adres do weryfikacji),https://b2b.tabascovape.pl,brak,brak,KRS 0001093977,PL5170445620,,hurtownik,,,5,B8,duży,do ustalenia,,brak,DANIEL BARTŁOMIEJ TABAS,komplementariusz,biuro@tabascovape.pl,biuro@tabascovape.pl,,"Kapitał: ? PLN. Do weryfikacji: pełny adres (ulica, nr), decydent, kanał sprzedaży, asortyment (czy mają maszynki do tytoniu).",brak,brak,brak,brak,2026-08-10,brak,KRS API / CEIDG API + web search 2026-08-10 | VIES confirmed 2026-08-11T00:18:53.653Z | KRS API 0001093977,2026-08-31 ✅ FROZEN (API),brak
PL,PL-B-009,Flowrolls Sp. z o.o.,Gdynia,Gdynia (dokładny adres do weryfikacji),,brak,brak,KRS 0000774565,PL5252782453,,hurtownik,,,5,B8,duży,do ustalenia,,brak,Michał Piotr Kuźnik,Prezes Zarządu,info@flowrolls.pl,info@flowrolls.pl,,"Kapitał: ? PLN. Do weryfikacji: pełny adres (ulica, nr), decydent, kanał sprzedaży, asortyment (czy mają maszynki do tytoniu).",brak,brak,brak,brak,2026-08-10,brak,KRS API / CEIDG API + web search 2026-08-10 | VIES confirmed 2026-08-11T00:18:55.184Z | KRS API 0000774565,2026-08-31 ✅ FROZEN (API),brak
PL,PL-B-010,BIODIO LAB Sp. z o.o.,Białystok,Białystok (dokładny adres do weryfikacji),,brak,brak,KRS 0001074861,PL5423393334,,hurtownik,,,4,B8,duży,do ustalenia,,brak,Izabela Wojciuk,Prezes,,,,"Kapitał: ? PLN. Do weryfikacji: pełny adres (ulica, nr), decydent, kanał sprzedaży, asortyment (czy mają maszynki do tytoniu).",brak,brak,brak,brak,2026-08-10,brak,KRS API / CEIDG API + web search 2026-08-10 | VIES confirmed 2026-08-11T00:18:56.604Z | KRS API 0001074861,2026-08-31 ✅ FROZEN (API),brak
