kraj,id_unikalne,nazwa_firmy,miasto,adres,www,wolumen,confidence_wolumen,rejestr_id,nip_vat,rok_zalozenia,tier,marki_nabijarki,marka_wlasna_oem,powinowactwo_nabijarki,kategoria,rynek_skala,cross_sell_potential,kanal_sprzedaży,kanal_zamiennik,decydent,stanowisko,email_decydent,email,telefon,notatki,linkedin,facebook,instagram,tiktok,data_weryfikacji,sourcing,zrodlo_danych,flagi,related_to
RS,RS-B-001,Umbrella Corporation Ltd. (umbrellashop.rs),Beograd,"Heroja Milana Tepića 3, Beograd (sedište; 15 lokali w Beogradu + Valjevo + Zemun)",https://umbrellashop.rs/,duży,🟢,"APR Serbia — PIB 106851710, wpisany w registar uvoznika srodnih proizvoda (duvan.gov.rs 15.1.2024)",RS106851710,,reseller,"NIE sprzedaje maszynek — fokus: e-papierosy, PUFFS, e-tečnosti (Flavour Art distributer za Srbję)",,,B4,średni,,Sieciowy retailer (15 lokali) + e-commerce + dystrybucja B2B (Flavour Art),,Direktor korporacije (imię do potwierdzenia w APR),Generalni direktor,,prodaja@umbrellashop.rs,+381 11 6558-124 | +381 11 6558-140 | +381 63 349-007 | +381 69 3699-645,🏆 TOP B4 LEAD — Umbrella Corporation to największa serbska sieć e-papierosów (15 lokali + dystrybucja B2B Flavour Art). PIB potwierdzony w oficjalnym rejestrze. Cross-sell potencjał NISKI dla PowerMatic (nie sprzedają maszynek) ale WYSOKI dla e-liquid / akcesoriów do e-papierosów. Out-of-scope.,https://rs.linkedin.com/company/umbrella-corporation,https://www.facebook.com/umbrellashop.rs/,https://www.instagram.com/umbrellashop/,,2026-08-19,Regionalny lider w dystrybucji e-papierosów. Generalni zastupnik Flavour Art za Srbję; BiH; Makedonija; Crna Gorę. 15 lokali w Beogradu + sklepy w Valjevo i Zemun. Marki: Joyetech; Eleaf; Wismec; Vaporesso; Kangertech; Ritchy Liqua.,"duvan.gov.rs (2026-08-19, registar uvoznika srodnih proizvoda, PIB 106851710) + umbrellashop.rs (2026-08-19, regionalni lider Flavour Art 15 lokali) | OUT-OF-SCOPE: Serbia",🆕 NEW | ⚠️ OUT-OF-SCOPE: Serbia | 🏆 TOP B4 E-CIGARETY | 🔗 SIEĆ 2026-08-31 ⏳ PENDING_API,
RS,RS-B-002,Vape Shop DOO (vapeshop.rs),Beograd,"Adres siedziby do potwierdzenia w APR (PIB 113161960 — wg duvan.gov.rs: Drinska 5, Novi Sad — ale operacyjnie z Beogradu vapeizla.rs Carice Milice 11)",https://vapeshop.rs/ | https://www.vapeizla.rs/,duży,🟢,"APR Serbia — PIB 113161960, delatność handel e-papierosy + nikotynki + liquidy, wpisany w registar uwozników 15.1.2024",RS113161960,2022,hurtownik,NIE sprzedaje maszynek — fokus: e-papierosy (w tym jednorazowe); nikotynki; liquidy; akcesoria. Sieć 1700+ obiektów w Srbii (wg LinkedIn).,,,B4,średni,,E-commerce (vapeshop.rs) + dystrybucja do 1700+ sklepów,,Osnivač (imię do potwierdzenia w APR),Osnivač / Direktor,,prodaja@vapeshop.rs,+381 do potwierdzenia,🏆 TOP B4 LEAD — Vape Shop DOO to jeden z największych dystrybutorów e-papierosów w Srbii (1700+ punktów sprzedaży!). Cross-sell: PowerMatic nie jest w ich asortymencie; ale liquidy i akcesoria e-papierosowe — tak. Out-of-scope dla BILLS PL.,https://www.linkedin.com/company/vape-shop-doo,https://www.facebook.com/vapeshop.rs/,,,2026-08-19,Jeden z największych dystrybutorów e-papierosów w Srbii. Od 2022 — w 1700+ punktach sprzedaży. Vape and Zla Shop (Carice Milice 11) to ich maloprodajny brand.,"linkedin.com/company/vape-shop-doo (2026-08-19, vape shop doo osnovana sredinom 2022, 1700+ objekata) + duvan.gov.rs (2026-08-19, PIB 113161960) | OUT-OF-SCOPE: Serbia",🆕 NEW | ⚠️ OUT-OF-SCOPE: Serbia | 🏆 TOP B4 SCALE | 🔗 1700+ PUNKTÓW 2026-08-31 ⏳ PENDING_API,
RS,RS-B-003,Vape Mania (vapemania.rs),Beograd,8 lokali: Podzemni prolaz Albanija; BEO Shopping Center; UŠĆE Shopping Center; Ada Mall; Mercator; Rajićeva; Galerija; Delta City (Beograd) + Subotica Dimitrija Tucovića 8,https://vapemania.rs/,duży,🟢,APR Serbia — do potwierdzenia; outlet vape prvý w Srbii,brak,,reseller,NIE sprzedaje maszynek — fokus: PUFFS; e-papierosy; VOZOL; VBAR; ELISE. Outlets w centrach handlowych.,,,B4,średni,,Sieciowy retailer (8+ lokali w centrach handlowych) + e-commerce,,Vlasnik / direktor (imię do potwierdzenia w APR),Direktor,,prodaja@vapemania.rs,+381 60 3699-967,🏆 TOP B4 LEAD — Vape Mania to największa sieć vape w Srbii (8 lokali w największych centrach handlowych). Outlets-only model; brak maszynek do papierosów. Cross-sell: PowerMatic raczej NIE; ale liquidy / PUFFS / akcesoria — tak. Out-of-scope.,,https://www.facebook.com/vapemania.rs/,https://www.instagram.com/vapemania/,,2026-08-19,Pierwszy vape outlet w Srbii. 8 lokali w Beogradu + 1 w Suboticy. Region: Srbia; BiH; Makedonia; Crna Gora.,"vapemania.rs (2026-08-19, 8 lokali Beograd + Subotica, PUFFS; VOZOL; VBAR; ELISE; prodaja@vapemania.rs) + mercatorcentar.rs (2026-08-19; Vape Mania sprzedaje PUFFS) | OUT-OF-SCOPE: Serbia",🆕 NEW | ⚠️ OUT-OF-SCOPE: Serbia | 🏆 TOP B4 SIEĆ 2026-08-31 ⏳ PENDING_API,
RS,RS-B-004,Salt Vape (8 lokali),Beograd,8 lokali: Kneza Mihaila 2 (Terazije); Bulevar kralja Aleksandra 86; Vojislava Ilića 141 TC Beo; Bulevar Vudroa Vilsona 14 TC Galerija,https://www.saltvape.rs/ (do potwierdzenia),duży,🟡,APR Serbia — do potwierdzenia,brak,,reseller,NIE sprzedaje maszynek — fokus: e-papierosy; e-tečnosti; akcesoria,,,B4,średni,,Sieciowy retailer (8 lokali),,Vlasnik (imię do potwierdzenia),Vlasnik,,,+381 65 8240-353 | +381 60 6262-521,Sieć 8 lokali w Beogradu; fokus e-papierosy. Brak PIB publicznie — do zweryfikowania w APR. Out-of-scope.,,https://www.facebook.com/saltvape/,,,2026-08-19,Sieć 8 lokali w Beogradu. Główna ekspozycja w centrum (Terazije; Zeleni Venac).,"planplus.rs (2026-08-19, Salt Vape 8 lokali Beograd, Kneza Mihaila 2 Terazije, +381 65 8240-353) | OUT-OF-SCOPE: Serbia",🆕 NEW | ⚠️ OUT-OF-SCOPE: Serbia | 🏷️ NO PIB 2026-08-31 ⏳ PENDING_API,
RS,RS-B-005,Yala Habibi d.o.o. (nargilashopbeograd.rs),Beograd,"Kneginje Zorke 41, Beograd (HQ) + Pere Todorovića 23 + Svetog Save 17",https://nargilashopbeograd.rs/ | https://nargilashopbeograd.com/,średni,🟢,"APR Serbia — PIB 108828706, MB 21075728, delatnost 4639 Nespecijalizovana trgovina hranom; pićem i duvanom. Spin-off z EL NIL COMPANY d.o.o. (2007).",RS108828706,2015,reseller,NIE sprzedaje maszynek — fokus: nargile (Aladin; Amy; Alpha Hookah; El Bomber; Blade Hookah); duvan za nargile (Al Fakher; Nakhla; Al Waha; 187 Tobacco; Starbuzz; Jibiar; Darkside); arome; ugalj; pribor. Ovlašćeni zastupnik za Srbję.,,,B5,średni,,E-commerce (nargilashopbeograd.rs) + sklep stacjonarny (Knjeginje Zorke 41) + kawiarnia,,Porodična firma (nazwisko do potwierdzenia w APR),Vlasnik (osnivač),order@nargilashopbeograd.rs,order@nargilashopbeograd.rs,+381 11 3441 585 | +381 60 374 7222,🏆 TOP B5 LEAD — Yala Habibi (dawniej EL NIL Company) to wiodący serbski dystrybutor nargili / shishy / duvanu aromatycznego. Sklep stacjonarny w centrum Beogradu (Knjeginje Zorke 41) + e-commerce + kawiarnia. Pełne dane APR (PIB; MB; delatność) zweryfikowane. Out-of-scope; ale warto monitorować trendy shisha w Serbii.,https://www.linkedin.com/company/el-nil-company,https://www.facebook.com/nargilashopbg/,,,2026-08-19,Właściciel: EL NIL COMPANY d.o.o. (porodična firma z 2007). Yala Habibi d.o.o. wydzielona w 2015. Distrybutor + sklep detaliczny + kawiarnia. NIE sprzedaje PowerMatic; ale cross-sell duvan / lule / pribor możliwy.,"nargilashopbeograd.rs/kontakt/ (2026-08-19, Yala Habibi d.o.o. Kneginje Zorke 41, PIB 108828706, MB 21075728, delatnost 4639) + linkedin.com/company/el-nil-company (2026-08-19, EL NIL COMPANY 2007; Yala Habibi spin-off 2015) + nargilashopbeograd.rs (2026-08-19, Aladin; Nakhla; Al Fakher; distributer za Srbję i BiH) | OUT-OF-SCOPE: Serbia",🆕 NEW | ⚠️ OUT-OF-SCOPE: Serbia | 🏆 TOP B5 SHISHA 2026-08-31 ⏳ PENDING_API,
RS,RS-B-006,Inhalika d.o.o. (inhalika.rs),Beograd (Meljak),Meljak; Ibarški put 68 (sedište; 3 lokale w Beogradu: Živka Davidovića 86 Zvezdara + 2 inne),https://inhalika.rs/ (do potwierdzenia),średni,🟡,"APR Serbia — PIB 107508093, delatność e-papierosy, wpisana w registar uwozników srodnih proizvoda (duvan.gov.rs 15.1.2024)",RS107508093,,reseller,NIE sprzedaje maszynek — fokus: e-papierosy; e-tečnosti; akcesoria,,,B4,średni,,Sieciowy retailer (3 lokale) + e-commerce,,Vlasnik (imię do potwierdzenia w APR),Vlasnik,,brak,+381 64 8278-163,Sieć 3 lokali e-papierosy w Beogradu. PIB potwierdzony w rejestrze. Out-of-scope. | ❓ niepotwierdzony e-mail znaleziony w źródle: inhalika@info (nie jest poprawnym adresem),,https://www.facebook.com/inhalika/,,,2026-08-19,Wpisana w oficjalny rejestr uwoźników duvan.gov.rs. 3 lokale w Beogradu.,"duvan.gov.rs (2026-08-19, PIB 107508093, Meljak Ibarški put 68) + planplus.rs (2026-08-19, Inhalika 3 lokale Beograd, +381 64 8278-163) | OUT-OF-SCOPE: Serbia",🆕 NEW | ⚠️ OUT-OF-SCOPE: Serbia | 🏷️ NO WWW potwierdzony 2026-08-31 ⏳ PENDING_API,
RS,RS-B-007,RELX Distribution SEE d.o.o. (RELX Serbia),Novi Beograd,"Bulevar Mihajla Pupina 10v, Novi Beograd (sedište)",https://www.relx.com/rs/ (do potwierdzenia),duży,🟢,"APR Serbia — PIB 112483638, delatność dystrybucja e-papierosów RELX, wpisana w registar uwozników",RS112483638,,hurtownik,NIE sprzedaje maszynek — fokus: dystrybucja RELX e-papierosów i podów w Srbii,,,B4,średni,,Dystrybucja B2B (RELX brand) + e-commerce,,RELX regional manager (imię do potwierdzenia),Regional Manager SEE,,info@relx.rs,+381 do potwierdzenia,Dystrybutor RELX (top marka e-papierosów) na Srbję + SEE. Out-of-scope dla BILLS PowerMatic; ale potencjalnie warto monitorować ceny RELX w regionie.,,https://www.facebook.com/RELXSerbia/,,,2026-08-19,Dystrybutor RELX na Srbję (SEE region). Marka premium w segmencie e-papierosów. Cross-sell: PowerMatic NIE; ale RELX Infinity 2 tak.,"duvan.gov.rs (2026-08-19, PIB 112483638, Bulevar Mihajla Pupina 10v Novi Beograd) | OUT-OF-SCOPE: Serbia",🆕 NEW | ⚠️ OUT-OF-SCOPE: Serbia | 🏆 TOP B4 BIG BRAND 2026-08-31 ⏳ PENDING_API,
RS,RS-B-008,British American Tobacco South-East Europe d.o.o. (BAT SEE),Novi Beograd,"Bulevar Milutina Milankovića 1ž, Novi Beograd (sedište)",https://www.bat.com/,duży,🟢,"APR Serbia — PIB 100000065, delatność dystrybucja wyrobów tytoniowych BAT, wpisana w registar uwozników",RS100000065,,producent,NIE sprzedaje maszynek — fokus: papierosy BAT (Lucky Strike; Pall Mall; Kent; Dunhill; Vogue); urządzenia grzewcze (glo); nikotynki (Velo),,,B8,średni,,Dystrybucja B2B (hurt) + e-commerce BAT,,Regional director SEE (imię do potwierdzenia),Regional Director SEE,,info@bat.com,+381 do potwierdzenia,Big Tobacco (BAT) na Srbję. Dystrybutor papierosów + glo + Velo. Out-of-scope.,https://www.linkedin.com/company/british-american-tobacco,https://www.facebook.com/BATSerbia/,,,2026-08-19,Córka British American Tobacco na SEE. Dystrybutor papierosów + urządzeń glo + saszetek nikotynowych Velo. Skala międzynarodowa. Out-of-scope dla BILLS PL.,"duvan.gov.rs (2026-08-19, PIB 100000065, Bulevar Milutina Milankovića 1ž Novi Beograd) | OUT-OF-SCOPE: Serbia",🆕 NEW | ⚠️ OUT-OF-SCOPE: Serbia | 🏆 BIG TOBACCO 2026-08-31 ⏳ PENDING_API,
RS,RS-B-009,Apride Hookah d.o.o.,Mladenovac,"Doktora Rusa 13, Mladenovac (varoš)",brak,mały,🟡,"APR Serbia — PIB 113192580, delatność hookah / nargile, wpisana w registar uwozników srodnih proizvoda (duvan.gov.rs 15.1.2024)",RS113192580,2014,hurtownik,NIE sprzedaje maszynek — fokus: nargile; pribor; hookah,,,B5,średni,,Dystrybucja B2B (hookah),,Vlasnik (imię do potwierdzenia),Vlasnik,,,+381 do potwierdzenia,Mali dystrybutor hookah w Mladenovacu. PIB potwierdzony. Out-of-scope.,,https://www.facebook.com/ (do potwierdzenia),,,2026-08-19,Mali importer/distrybutor hookah. Sedište w Mladenovacu (przedmieścia Beogradu).,"duvan.gov.rs (2026-08-19, PIB 113192580, Doktora Rusa 13 Mladenovac) | OUT-OF-SCOPE: Serbia",🆕 NEW | ⚠️ OUT-OF-SCOPE: Serbia | 🏷️ NO WWW 2026-08-31 ⏳ PENDING_API,
RS,RS-B-010,Pezeta (pezeta.rs),Novi Sad,3 lokale: Hadži Ruvimova 27; Bulevar cara Lazara 92; Narodnog fronta 4 (Novi Sad),https://www.pezeta.rs/page1.html,mały,🟡,APR Serbia — do potwierdzenia,brak,,reseller,Duvan rezani; Rizle; Filteri za motanje (OCB; Smoking; Raw; Rizla+; Gizeh); Pribor za pušenje (muštikle; oprema za lule); Prazne cigarete (Royk),,,B6,średni,,Sieciowy retailer (3 lokale) + e-commerce,,Vlasnik (imię do potwierdzenia),Vlasnik,,,+381 do potwierdzenia,Sieć 3 trafik/tobacco w Novym Sadzie. Sprzedaje duvan; filteri; pribor. Out-of-scope.,,https://www.facebook.com/pezetans/,,,2026-08-19,3 lokale w Novym Sadzie. Sklep stacjonarny + online. Skala: regionalna (Vojvodina). Out-of-scope dla BILLS PL.,"pezeta.rs (2026-08-19, 3 lokale Novi Sad, duvan + rizle + filteri) | OUT-OF-SCOPE: Serbia",🆕 NEW | ⚠️ OUT-OF-SCOPE: Serbia | 🏷️ NO PIB 2026-08-31 ⏳ PENDING_API,
